Depth,DT,RHOB,NPHI,PEF,SGR,RT
3721.3032,52.0986,2.7239,2.23E-02,4.8353,16.9627,82.0975
3680.0028,51.4541,2.7049,0.010361,5.1586,14.8379,101.001
3355.848,58.9997,2.6341,6.94E-02,3.0677,40.096,11.7112
3607.0032,68.4025,2.4923,0.044807,2.4374,24.8052,89.8962
3303.1176,66.0666,2.5236,0.158167,3.9781,45.7906,20.7068
3606.546,65.2695,2.4963,4.80E-02,2.4304,24.3348,87.0564
3529.1268,54.2133,2.7144,6.71E-02,3.9831,41.453,18.9175
3584.1432,59.7284,2.6358,5.69E-02,2.7789,46.672,76.0127
3307.5372,57.9967,2.6683,9.70E-02,4.1166,47.0263,37.2635
3494.6844,60.3743,2.5737,0.105074,4.7398,47.4318,43.6706
3516.318,66.24,2.593,0.1876,3.546,54.84,2.736
3147.822,71.479,2.6358,0.197534,4.0042,51.6585,7.861
3495.7512,55.3957,2.653,0.03968,4.8878,39.568,41.7393
3256.1784,56.6238,2.7237,9.96E-02,3.5452,48.4374,94.3501
3583.9908,59.0187,2.6448,5.48E-02,2.8248,43.0357,113.859
3517.2396,53.1574,2.6928,2.89E-02,5.2246,57.5929,33.5702
3617.8236,60.1124,2.6454,0.120354,4.0439,36.4837,5.462
3377.184,55.5795,2.6782,0.1082,3.4192,42.2321,10.8471
3602.5836,55.8384,2.6529,0.011596,3.3738,31.5998,27.0343
3331.3116,72.3413,2.4179,0.109867,2.3164,49.618,12.4896
3583.5336,56.8487,2.6757,4.80E-02,3.1213,33.4368,191.787
3359.658,55.0271,2.6229,0.106337,4.041,43.7428,20.3778
3517.0872,52.5069,2.6979,2.15E-02,5.1997,58.3308,36.9829
3734.2572,51.7465,2.7069,1.01E-02,5.2782,12.4576,193.427
3578.5044,67.9371,2.5259,0.171329,3.9133,39.2581,30.5757
3679.2408,52.0403,2.708,0.010727,5.3101,15.2589,61.8626
3289.3989,58.23,2.776,0.1038,4.356,53.9985,11.38
3117.6468,66.5963,2.5584,0.201687,4.4122,34.9954,24.594
3581.4,67.1938,2.4467,0.215787,3.1663,35.6758,35.2474
3601.3644,58.3987,2.6511,2.62E-02,3.0932,55.486,15.3117
3487.8264,54.2203,2.6291,0.118129,4.0559,44.1555,16.2788
3611.7276,73.155,2.372,9.56E-02,1.8266,19.6247,107.786
3337.8648,70.6205,2.5058,0.147703,2.4663,98.489,6.1922
3733.038,51.9411,2.7111,0.012171,5.3465,11.6814,162.189
3565.0932,54.5764,2.7329,2.25E-02,4.8044,43.3996,30.2655
3581.5524,64.299,2.4738,0.200016,3.2166,34.74,38.5056
3396.8436,53.5677,2.6395,2.40E-02,5.4634,23.5719,140.487
3552.7488,55.8273,2.6807,0.024537,5.1648,33.3065,36.9454
3480.816,52.4388,2.6989,9.57E-03,5.2002,26.6405,45.1702
3568.9032,51.6775,2.72,0.014683,5.1768,39.5555,141.025
3654.7044,66.0208,2.5591,0.20498,3.6279,38.7358,4.4438
3381.4512,51.3799,2.6764,2.22E-02,4.9897,22.8583,109.327
3725.1132,52.1222,2.7019,0.012893,5.4166,13.5046,154.753
3701.4912,59.5262,2.5751,7.06E-02,4.9307,11.7668,44.0125
3569.0556,52.7435,2.72,2.61E-02,5.3631,39.3706,138.593
3493.9224,56.3466,2.6737,6.53E-02,4.6015,61.8792,24.7159
3336.3408,63.2485,2.6634,0.149344,3.3891,45.3606,2.6448
3140.6592,65.1634,2.6074,0.179478,3.7106,41.3883,3.6113
3289.2492,70.0984,2.4621,0.155975,4.5118,56.1517,43.0186
3564.9408,54.814,2.7359,2.41E-02,4.7329,44.8907,25.6633
3618.4332,58.2881,2.6526,0.106687,3.9276,42.7552,6.5451
3550.158,60.1757,2.7359,0.147807,3.645,106.206,10.7148
3723.132,51.2949,2.7178,9.85E-03,5.1471,18.5927,185.317
3336.4932,63.7189,2.6323,0.163608,3.3968,45.4864,2.2674
3637.9404,80.6413,2.3549,9.95E-02,1.9843,18.5189,132.244
3612.642,73.5477,2.3609,9.29E-02,1.8677,18.9492,106.141
3619.9572,57.4112,2.6726,9.76E-02,4.6992,37.9957,13.4919
3540.5568,49.5706,2.7571,8.90E-03,4.731,29.8915,67.585
3240.1737,52.72,2.779,6.08E-02,3.737,58.3105,14.54
3555.7968,56.209,2.6701,0.020027,5.33,20.9068,33.0561
3607.7652,72.9966,2.3588,8.71E-02,1.8374,19.6018,98.1164
3239.8689,52.87,2.754,7.59E-02,3.583,63.1492,17.04
3240.0213,52.57,2.767,6.66E-02,3.663,62.3001,16.04
3628.3392,58.5123,2.6582,3.88E-02,3.3543,31.7483,22.4841
3361.7916,61.0321,2.5015,0.125,4.5929,27.7584,23.5101
3516.0132,66.06,2.572,0.1949,3.655,34.24,3.437
3688.842,49.613,2.7549,0.015315,4.4913,19.4741,212.729
3613.2516,74.4045,2.3489,9.54E-02,1.9012,16.9276,91.3299
3630.6252,77.7933,2.3823,0.106808,2.0344,22.5012,79.7558
3266.2296,57.71,2.636,0.1627,3.381,87.89,17.7
3345.18,54.4795,2.6753,0.07714,3.267,40.0146,48.5513
3671.316,60.4565,2.6211,0.136768,4.7356,30.4784,11.8323
3672.84,54.8129,2.699,2.57E-02,4.9376,34.3402,15.784
3549.8532,58.0877,2.74,8.62E-02,3.9621,82.2303,14.5296
3312.5664,53.8025,2.6816,0.079007,3.8289,72.811,36.6497
3332.226,71.324,2.4734,8.77E-02,3.0804,41.3103,29.3905
3259.9812,59.32,2.597,0.1785,3.272,63.55,6.697
3597.7068,57.0947,2.737,5.50E-02,3.8834,44.7737,16.8947
3713.6832,51.8416,2.5983,8.57E-04,5.6277,13.4114,275.652
3558.54,56.3195,2.7042,1.97E-02,4.8669,50.1334,32.4918
3642.6648,69.1873,2.4469,8.32E-02,2.4738,19.3863,41.6095
